donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	L_lactis	M_lcts_e	0.1828888721962911	0.5343009731830941	1.0	kefir	MILK
L_lactis	environment	M_gal_e	0.1478618718807051	0.8207462661718998	0.04	kefir	MILK
L_kefiranofaciens	environment	M_ac_e	0.09742694192354545	1.65007633173868	1.0	kefir	MILK
L_lactis	environment	M_co2_e	0.0668549755883788	1.5191032751651072	1.0	kefir	MILK
environment	L_mesenteroides	M_lcts_e	0.06501634587993031	0.18994210232305153	0.93	kefir	MILK
L_lactis	L_kefiranofaciens	M_acald_e	0.06116705679363703	1.3885067963070576	1.0	kefir	MILK
L_lactis	L_mesenteroides	M_glyc_e	0.04383273081738986	0.47595900706770683	0.22	kefir	MILK
L_lactis	environment	M_12ppd__S_e	0.042219314760318156	0.5548303319221616	0.69	kefir	MILK
L_mesenteroides	environment	M_co2_e	0.03885455951455274	0.8828675516548187	1.0	kefir	MILK
environment	L_kefiranofaciens	M_lcts_e	0.03788311889329022	0.11067369517250648	1.0	kefir	MILK
L_lactis	environment	M_2h3mb_e	0.027938143896194312	0.23853719255511577	0.99	kefir	MILK
environment	L_kefiranofaciens	M_o2_e	0.02761340679783591	0.8629513231069887	1.0	kefir	MILK
L_mesenteroides	environment	M_2mpa_e	0.026456254310667542	0.30375655517782535	0.99	kefir	MILK
L_kefiranofaciens	L_lactis	M_gal_e	0.021096171599024157	0.11709985711793347	0.76	kefir	MILK
L_kefiranofaciens	environment	M_gal_e	0.01502066695393315	0.08337616831875787	0.26	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_acald_e	0.014370850578876422	0.3262217399931994	0.51	kefir	MILK
environment	L_kefiranofaciens	M_orn_e	0.013116663757024812	0.09849681874247052	1.0	kefir	MILK
L_kefiranofaciens	environment	M_co2_e	0.010210687398619052	0.23201098396071418	1.0	kefir	MILK
L_kefiranofaciens	environment	M_ptrc_e	0.007823939659934297	0.08677184573406505	1.0	kefir	MILK
L_mesenteroides	environment	M_2mba_e	0.007718035446006948	0.07632294252375758	0.62	kefir	MILK
environment	L_lactis	M_ser__L_e	0.007566676413855182	0.07200029320754407	0.53	kefir	MILK
L_lactis	environment	M_glyc_e	0.00717175766440874	0.07787474321649997	0.04	kefir	MILK
environment	L_lactis	M_glu__L_e	0.007111130295023509	0.04866603907052038	0.65	kefir	MILK
L_lactis	environment	M_h2s_e	0.005986953716334541	0.17566940084547727	0.02	kefir	MILK
L_mesenteroides	environment	M_h2s_e	0.005958471400509451	0.17483367175974304	1.0	kefir	MILK
environment	L_mesenteroides	M_thr__L_e	0.005913186821616681	0.04964108790230158	1.0	kefir	MILK
environment	L_lactis	M_gly_e	0.0057044329835036515	0.07599182834801792	0.98	kefir	MILK
environment	L_lactis	M_thr__L_e	0.005523533102017672	0.046369952534928774	0.76	kefir	MILK
A_fabarum	environment	M_ptrc_e	0.004926474596715371	0.054637345416665234	0.01	kefir	MILK
A_fabarum	environment	M_succ_e	0.004837348143748314	0.041675409605661254	0.99	kefir	MILK
L_lactis	environment	M_4abut_e	0.004822910632942885	0.046770158020148354	0.37	kefir	MILK
environment	L_mesenteroides	M_ser__L_e	0.004818064730687025	0.04584602992499951	1.0	kefir	MILK
environment	L_kefiranofaciens	M_asp__L_e	0.004654097432247149	0.03523309019109159	0.89	kefir	MILK
